RegionIndex PupilX PupilY Glint1X Glint1Y Glint2X Glint2Y GazeX GazeY GazeZ
1 920.495397 697.849268 921.844010 706.614331 938.459736 700.802532 -108.160440 -87.954780 -154.800911
1 920.375196 697.892066 921.751313 706.686962 938.344299 700.703551 -110.274583 -87.044820 -155.040881
1 920.346169 697.906595 921.628159 706.601601 938.344299 700.703551 -111.865959 -86.250532 -155.261942
1 920.082207 698.099529 921.368293 706.790850 937.777483 700.906783 -116.282890 -87.211794 -154.704866
1 919.997348 698.119597 921.314413 706.771109 937.677093 700.861591 -116.739959 -87.582042 -154.547094
1 919.806387 698.163014 921.225075 706.822949 937.497602 700.934910 -114.510663 -91.501627 -153.199505
1 919.736942 698.082301 921.095263 706.830726 937.470117 700.840591 -114.256794 -92.107044 -152.987227
1 919.709164 698.050016 921.043338 706.833837 937.459123 700.802864 -113.837923 -92.648062 -152.806295
1 919.650869 698.184701 921.043338 706.833837 937.574628 700.703807 -114.702846 -89.308609 -154.001649
1 919.844920 697.981215 921.124541 706.809573 937.574628 700.703807 -115.029052 -88.889244 -154.141828
1 919.821010 697.634075 921.287077 706.442433 937.574628 700.703807 -122.198178 -85.305018 -155.139913
1 919.836808 697.621925 921.266364 706.421707 937.574628 700.703807 -122.198427 -85.304750 -155.140000
1 919.868158 697.597813 921.225258 706.380578 937.574628 700.703807 -122.196323 -85.562728 -155.044703
1 919.812235 697.719014 921.287077 706.442433 937.752831 700.611361 -121.847316 -85.174941 -155.204028
1 919.905042 697.702423 921.287077 706.442433 937.805496 700.626738 -121.438740 -85.353537 -155.156639
1 920.059148 697.707970 921.501854 706.390279 937.673628 700.588236 -119.731856 -85.095658 -155.329913
1 920.052044 697.694363 921.490834 706.387065 937.699796 700.595876 -119.334535 -85.283726 -155.278508
1 920.023350 697.639402 921.446321 706.374080 937.805496 700.626738 -119.072587 -85.361742 -155.261617
1 920.056999 697.634023 921.461471 706.351358 937.805496 700.626738 -118.208998 -85.673700 -155.185686
1 920.124296 697.623264 921.491773 706.305913 937.805496 700.626738 -118.014850 -85.685478 -155.190193
